rank,fraud_score,tier,votes,group_key,month,paid,claims,beneficiaries,kernels,kernel_raw_scores
1,100.0,critical,5,1366479099,2024-05-01,370466.44,149110,140871,8,"{""8"":0.6719146966934204}"
2,93.14,critical,5,1366479099,2024-04-01,325760.28,138719,134363,8,"{""8"":0.6417679190635681}"
3,88.05,critical,5,1366479099,2024-10-01,306498.0,136016,131734,8,"{""8"":0.5989452004432678}"
4,87.88,critical,5,1366479099,2024-03-01,257077.41,134286,130367,8,"{""8"":0.6204708218574524}"
5,86.41,critical,5,1366479099,2024-07-01,324905.59,133561,129379,8,"{""8"":0.6037424802780151}"
6,86.2,critical,5,1366479099,2024-08-01,280132.72,133503,129406,8,"{""8"":0.6031202077865601}"
7,81.55,critical,3,1376609297,2024-07-01,118887672.0,1205701,39765,"2,3,8","{""2"":1329.27587890625,""3"":129004.6953125,""8"":1.2814760208129883}"
8,79.47,high,3,1376609297,2024-08-01,115561064.0,1152534,39677,"2,3,8","{""2"":1292.0804443359375,""3"":125394.984375,""8"":1.2402276992797852}"
9,78.16,high,3,1376609297,2024-05-01,112823256.0,1157235,39678,"2,3,8","{""2"":1261.4683837890625,""3"":122424.1796875,""8"":1.2240025997161865}"
10,77.53,high,3,1376609297,2024-06-01,111449176.0,1164582,39834,"2,3,8","{""2"":1246.1044921875,""3"":120933.15625,""8"":1.2180441617965698}"
11,76.72,high,3,1376609297,2024-09-01,111199832.0,1099808,39527,"2,3,8","{""2"":1243.3165283203125,""3"":120662.6015625,""8"":1.1923471689224243}"
12,75.85,high,3,1376609297,2023-03-01,107350448.0,1218388,38858,"2,3,8","{""2"":1200.2757568359375,""3"":116485.6171875,""8"":1.2107948064804077}"
13,75.8,high,3,1376609297,2023-05-01,107504896.0,1202398,39160,"2,3,8","{""2"":1202.002685546875,""3"":116653.2109375,""8"":1.2060550451278687}"
14,75.52,high,3,1376609297,2023-12-01,108654424.0,1126059,35011,"2,3,8","{""2"":1214.855712890625,""3"":117900.5625,""8"":1.178054690361023}"
15,75.17,high,5,1366479099,2024-02-01,241168.11,125585,121588,8,"{""8"":0.5718201398849487}"
16,74.99,high,5,1366479099,2024-06-01,312751.75,125791,121176,8,"{""8"":0.5696080923080444}"
17,74.57,high,3,1376609297,2024-01-01,107097712.0,1127389,35029,"2,3,8","{""2"":1197.4498291015625,""3"":116211.375,""8"":1.1684598922729492}"
18,74.37,high,3,1376609297,2024-10-01,107690816.0,1049751,38705,"2,3,8","{""2"":1204.0814208984375,""3"":116854.953125,""8"":1.1500029563903809}"
19,73.23,high,3,1376609297,2022-05-01,103075856.0,1180315,38456,"2,3,8","{""2"":1152.4805908203125,""3"":111847.2421875,""8"":1.1685564517974854}"
20,73.09,high,3,1376609297,2024-03-01,104727512.0,1087063,38160,"2,3,8","{""2"":1170.9481201171875,""3"":113639.4609375,""8"":1.1431432962417603}"
21,72.81,high,3,1376609297,2022-08-01,102535432.0,1177425,38230,"2,3,8","{""2"":1146.43798828125,""3"":111260.828125,""8"":1.163683533668518}"
22,72.81,high,3,1376609297,2022-07-01,102046920.0,1201576,38344,"2,3,8","{""2"":1140.975830078125,""3"":110730.7421875,""8"":1.170376181602478}"
23,72.67,high,3,1376609297,2023-04-01,102695848.0,1148650,38987,"2,3,8","{""2"":1148.231689453125,""3"":111434.8984375,""8"":1.154779076576233}"
24,72.12,high,3,1376609297,2023-10-01,103630656.0,1064642,34860,"2,3,8","{""2"":1158.6839599609375,""3"":112449.2578125,""8"":1.1224130392074585}"
25,71.41,high,3,1376609297,2023-07-01,101493880.0,1116597,35171,"2,3,8","{""2"":1134.7921142578125,""3"":110130.640625,""8"":1.1286298036575317}"
26,71.14,high,3,1376609297,2024-04-01,102524800.0,1039887,35952,"2,3,8","{""2"":1146.319091796875,""3"":111249.2890625,""8"":1.1078898906707764}"
27,70.94,high,3,1376609297,2023-08-01,101253720.0,1093176,35191,"2,3,8","{""2"":1132.10693359375,""3"":109870.0390625,""8"":1.1182111501693726}"
28,70.9,high,3,1376609297,2022-06-01,99853688.0,1144931,38438,"2,3,8","{""2"":1116.452880859375,""3"":108350.859375,""8"":1.1346282958984375}"
29,70.55,high,3,1376609297,2022-01-01,101079552.0,1056979,37841,"2,3,8","{""2"":1130.159423828125,""3"":109681.0546875,""8"":1.107933521270752}"
30,70.21,high,3,1376609297,2023-01-01,99041712.0,1133460,36552,"2,3,8","{""2"":1107.3739013671875,""3"":107469.78125,""8"":1.1219292879104614}"
31,70.19,high,3,1376609297,2022-04-01,98812848.0,1134813,38219,"2,3,8","{""2"":1104.81494140625,""3"":107221.4375,""8"":1.1238280534744263}"
32,69.92,high,5,1366479099,2024-09-01,244893.62,122499,118762,8,"{""8"":0.5437461137771606}"
33,69.8,high,3,1376609297,2023-09-01,100054624.0,1050555,35096,"2,3,8","{""2"":1118.6995849609375,""3"":108568.8984375,""8"":1.0943591594696045}"
34,69.64,high,3,1376609297,2022-10-01,98339632.0,1120009,37981,"2,3,8","{""2"":1099.5238037109375,""3"":106707.953125,""8"":1.114700436592102}"
35,68.78,high,3,1376609297,2022-03-01,98713608.0,1013674,38098,"2,3,8","{""2"":1103.705322265625,""3"":107113.7578125,""8"":1.0772044658660889}"
36,68.56,high,3,1376609297,2022-09-01,96631528.0,1107628,38238,"2,3,8","{""2"":1080.4251708984375,""3"":104854.4765625,""8"":1.0996930599212646}"
37,68.36,high,3,1376609297,2023-11-01,98269824.0,1020888,34495,"2,3,8","{""2"":1098.7432861328125,""3"":106632.2109375,""8"":1.0708421468734741}"
38,68.32,high,3,1376609297,2024-02-01,97899272.0,1022012,38017,"2,3,8","{""2"":1094.60009765625,""3"":106230.125,""8"":1.0748552083969116}"
39,67.6,high,5,1366479099,2024-01-01,243142.86,121991,117890,8,"{""8"":0.5439345836639404}"
40,67.06,high,3,1376609297,2023-06-01,94937008.0,1046043,38599,"2,3,8","{""2"":1061.4783935546875,""3"":103015.7578125,""8"":1.0660313367843628}"
41,66.37,high,3,1376609297,2022-11-01,93439760.0,1071071,34438,"2,3,8","{""2"":1044.7373046875,""3"":101391.09375,""8"":1.0591025352478027}"
42,66.08,high,3,1376609297,2023-02-01,92928568.0,1054313,38497,"2,3,8","{""2"":1039.0216064453125,""3"":100836.390625,""8"":1.0564472675323486}"
43,65.68,high,5,1366479099,2023-08-01,216434.06,119102,115542,8,"{""8"":0.546142041683197}"
44,65.02,high,3,1376609297,2022-12-01,91520744.0,1036060,34293,"2,3,8","{""2"":1023.2803955078125,""3"":99308.765625,""8"":1.0332196950912476}"
45,63.44,high,3,1376609297,2022-02-01,90176968.0,928488,37787,"2,3,8","{""2"":1008.2553100585938,""3"":97850.6171875,""8"":0.9905264377593994}"
46,62.99,high,5,1063497451,2023-03-01,346085.16,106166,100697,8,"{""8"":0.5916634798049927}"
47,61.87,high,5,1366479099,2023-03-01,258650.78,117385,113817,8,"{""8"":0.5445613861083984}"
48,60.52,high,3,1043309735,2020-06-01,1958400.0,12,12,"4,7,8","{""4"":5327.92919921875,""7"":39967.34765625,""8"":0.9989444017410278}"
49,60.48,high,5,1417262056,2024-07-01,54761232.0,644264,34337,"2,3,8","{""2"":336.8003845214844,""3"":32687.962890625,""8"":0.6577135920524597}"
50,59.97,medium,5,1417262056,2024-08-01,54781916.0,599234,34690,"2,3,8","{""2"":339.163818359375,""3"":32917.328125,""8"":0.6421024799346924}"
51,59.26,medium,3,1376609297,2024-11-01,84814416.0,787315,31676,"2,3,8","{""2"":948.2954711914062,""3"":92031.6953125,""8"":0.8942306041717529}"
52,57.96,medium,5,1417262056,2024-09-01,55056560.0,597907,34818,"2,3,8","{""2"":317.7079772949219,""3"":30835.103515625,""8"":0.6436322927474976}"
53,57.79,medium,5,1417262056,2024-10-01,53809752.0,590591,34486,"2,3,8","{""2"":330.3067932128906,""3"":32057.783203125,""8"":0.6325627565383911}"
54,57.2,medium,5,1417262056,2024-05-01,53401324.0,595379,33732,"2,3,8","{""2"":327.9346923828125,""3"":31827.576171875,""8"":0.6297988295555115}"
55,56.57,medium,5,1417262056,2024-01-01,52946668.0,603803,33875,"2,3,8","{""2"":323.9569091796875,""3"":31441.54296875,""8"":0.630574107170105}"
56,55.75,medium,3,1922467554,2024-07-01,82917536.0,546207,28053,"2,3,8","{""2"":927.0860595703125,""3"":89973.390625,""8"":0.801112711429596}"
57,55.16,medium,5,1417262056,2023-06-01,48554672.0,586553,31559,"2,3,8","{""2"":371.5580139160156,""3"":36061.08984375,""8"":0.5920338034629822}"
58,54.87,medium,5,1417262056,2024-06-01,53250080.0,581629,34074,"2,3,8","{""2"":312.9181823730469,""3"":30370.267578125,""8"":0.6248258948326111}"
59,54.75,medium,3,1043309735,2020-04-01,2239920.0,16,16,"4,7,8","{""4"":4570.267578125,""7"":45712.65234375,""8"":0.8582499623298645}"
60,54.63,medium,5,1417262056,2023-05-01,48028832.0,577903,30756,"2,3,8","{""2"":380.97662353515625,""3"":36975.13671875,""8"":0.5835165977478027}"
61,54.46,medium,5,1417262056,2023-03-01,48047104.0,578980,30828,"2,3,8","{""2"":377.88189697265625,""3"":36674.80078125,""8"":0.5842272043228149}"
62,54.09,medium,5,1417262056,2024-04-01,52277256.0,597705,33504,"2,3,8","{""2"":312.81121826171875,""3"":30359.890625,""8"":0.6233340501785278}"
63,54.09,medium,5,1417262056,2024-03-01,51473264.0,601225,33071,"2,3,8","{""2"":319.6808166503906,""3"":31026.5625,""8"":0.6187296509742737}"
64,54.03,medium,4,1366479099,2023-10-01,222729.16,115091,111378,8,"{""8"":0.6325681209564209}"
65,53.89,medium,3,1922467554,2024-05-01,80004888.0,532679,26940,"2,3,8","{""2"":894.5191040039062,""3"":86812.8671875,""8"":0.7742744088172913}"
66,53.17,medium,5,1417262056,2023-10-01,52416360.0,607495,33142,"2,3,8","{""2"":299.0069274902344,""3"":29020.224609375,""8"":0.6268404126167297}"
67,52.5,medium,5,1417262056,2023-11-01,52417284.0,597700,33363,"2,3,8","{""2"":295.4903869628906,""3"":28678.95703125,""8"":0.6237831711769104}"
68,52.33,medium,5,1417262056,2024-02-01,52132536.0,580015,33819,"2,3,8","{""2"":303.7048034667969,""3"":29476.13671875,""8"":0.6168291568756104}"
69,52.23,medium,5,1366479099,2023-05-01,232325.3,112655,109017,8,"{""8"":0.5231049060821533}"
70,52.16,medium,3,1043309735,2020-08-01,2245275.5,17,16,"4,7,8","{""4"":4311.6748046875,""7"":45821.94921875,""8"":0.8102190494537354}"
71,52.01,medium,3,1922467554,2024-04-01,77215264.0,511360,26665,"2,3,8","{""2"":863.3276977539062,""3"":83785.84375,""8"":0.7477520704269409}"
72,51.95,medium,5,1417262056,2023-04-01,46853008.0,568351,31068,"2,3,8","{""2"":357.92352294921875,""3"":34737.90234375,""8"":0.5738723874092102}"
73,51.21,medium,3,1922467554,2024-06-01,75926936.0,500538,27527,"2,3,8","{""2"":848.9226684570312,""3"":82387.8671875,""8"":0.73708575963974}"
74,50.8,medium,5,1417262056,2022-12-01,46125624.0,558276,29808,"2,3,8","{""2"":363.9876708984375,""3"":35326.40625,""8"":0.5623946189880371}"
75,50.69,medium,3,1922467554,2024-01-01,75363400.0,502099,25255,"2,3,8","{""2"":842.6216430664062,""3"":81776.375,""8"":0.7292713522911072}"
76,50.62,medium,5,1417262056,2023-01-01,45310028.0,571769,29982,"2,3,8","{""2"":366.3562927246094,""3"":35556.2734375,""8"":0.5634157657623291}"
77,50.58,medium,3,1922467554,2024-03-01,75238136.0,499197,26149,"2,3,8","{""2"":841.2210083007812,""3"":81640.453125,""8"":0.7291715145111084}"
78,50.18,medium,3,1043309735,2020-12-01,1954245.62,15,14,"4,7,8","{""4"":4253.16455078125,""7"":39882.5625,""8"":0.7992950081825256}"
79,50.12,medium,5,1417262056,2023-07-01,48767700.0,571180,31597,"2,3,8","{""2"":317.283935546875,""3"":30793.951171875,""8"":0.5875383615493774}"
80,49.78,medium,3,1043309735,2019-11-01,2479936.25,20,16,"4,7,8","{""4"":4047.91455078125,""7"":50610.94140625,""8"":0.7612825632095337}"
81,49.73,medium,4,1366479099,2023-06-01,217746.7,112182,108754,8,"{""8"":0.6172847151756287}"
82,49.42,medium,3,1043309735,2020-07-01,2245275.0,18,17,"4,7,8","{""4"":4072.098388671875,""7"":45821.9375,""8"":0.7657208442687988}"
83,48.91,medium,3,1346208949,2023-03-01,2010586.75,16,15,"4,7,8","{""4"":4102.2734375,""7"":41032.3828125,""8"":0.7712776064872742}"
84,48.79,medium,5,1063497451,2023-05-01,323320.94,98414,92893,8,"{""8"":0.5548309087753296}"
85,48.65,medium,5,1417262056,2023-02-01,46628400.0,557742,30257,"2,3,8","{""2"":331.2144775390625,""3"":32145.869140625,""8"":0.5663167834281921}"
86,48.51,medium,5,1417262056,2022-10-01,45082620.0,555342,29135,"2,3,8","{""2"":355.0712890625,""3"":34461.09765625,""8"":0.5534380674362183}"
87,48.43,medium,5,1417262056,2023-09-01,50235952.0,581215,32630,"2,3,8","{""2"":285.77203369140625,""3"":27735.81640625,""8"":0.602746844291687}"
88,48.42,medium,5,1417262056,2022-11-01,45374744.0,549751,29457,"2,3,8","{""2"":351.8475036621094,""3"":34148.2421875,""8"":0.5538243651390076}"
89,48.32,medium,5,1417262056,2023-08-01,49046808.0,575778,31728,"2,3,8","{""2"":297.0221252441406,""3"":28827.60546875,""8"":0.5912633538246155}"
90,48.22,medium,3,1922467554,2024-11-01,71010280.0,504374,29317,"2,3,8","{""2"":793.9484252929688,""3"":77052.7890625,""8"":0.7062771320343018}"
91,47.88,medium,5,1417262056,2023-12-01,48729988.0,547426,33331,"2,3,8","{""2"":300.03497314453125,""3"":29119.9921875,""8"":0.5833716988563538}"
92,47.62,medium,3,1922467554,2024-10-01,70308664.0,502214,28894,"2,3,8","{""2"":786.103515625,""3"":76291.46875,""8"":0.6998105645179749}"
93,47.37,medium,3,1922467554,2024-02-01,70935312.0,473076,25618,"2,3,8","{""2"":793.1102294921875,""3"":76971.4453125,""8"":0.6899295449256897}"
94,46.79,medium,5,1417262056,2022-08-01,43723876.0,553632,28481,"2,3,8","{""2"":355.8498229980469,""3"":34536.65625,""8"":0.5432524681091309}"
95,46.63,medium,3,1346208949,2021-03-01,2743293.5,24,20,"4,7,8","{""4"":3731.433349609375,""7"":55985.58203125,""8"":0.7025793790817261}"
96,46.44,medium,3,1922467554,2023-10-01,69646992.0,473832,24276,"2,3,8","{""2"":778.7052612304688,""3"":75573.484375,""8"":0.6783086061477661}"
97,46.42,medium,3,1922467554,2023-12-01,69575416.0,474531,24923,"2,3,8","{""2"":777.9049072265625,""3"":75495.8125,""8"":0.6791588068008423}"
98,46.29,medium,3,1346208949,2022-09-01,2016131.38,17,14,"4,7,8","{""4"":3871.572265625,""7"":41145.5390625,""8"":0.728427529335022}"
99,46.2,medium,3,1922467554,2023-11-01,69338816.0,473860,24671,"2,3,8","{""2"":775.2594604492188,""3"":75239.0859375,""8"":0.6767991185188293}"
100,46.18,medium,3,1376609297,2021-12-01,61969544.0,710618,36985,"2,3,8","{""2"":692.8619995117188,""3"":67242.6640625,""8"":0.7324067950248718}"
